,,Front Left,Front Left,Front Right,Front Right,Rear Left,Rear Left,Rear Right,Rear Right,,,,
,Step,Up/Down,Fwd/Back,Up/Down,Fwd/Back,Up/Down,Fwd/Back,Up/Down,Fwd/Back,,,,
,1,0,0.7101449275,0,0,0,0,0,0.7101449275,,,,
,2,0,0.6956521739,0.0769230769,0,0.0769230769,0,0,0.6956521739,,,,
,3,0,0.6811594203,0.1538461538,0,0.1538461538,0,0,0.6811594203,,,,
,4,0,0.6666666667,0.2307692308,0,0.2307692308,0,0,0.6666666667,,,,
,5,0,0.652173913,0.3076923077,0,0.3076923077,0,0,0.652173913,,,,
,6,0,0.6376811594,0.3846153846,0.05,0.3846153846,0.05,0,0.6376811594,,,,
,7,0,0.6231884058,0.4615384615,0.1,0.4615384615,0.1,0,0.6231884058,,,,
,8,0,0.6086956522,0.5384615385,0.15,0.5384615385,0.15,0,0.6086956522,,,,
,9,0,0.5942028986,0.6153846154,0.2,0.6153846154,0.2,0,0.5942028986,,,,
,10,0,0.5797101449,0.6923076923,0.25,0.6923076923,0.25,0,0.5797101449,,,,
,11,0,0.5652173913,0.7692307692,0.3,0.7692307692,0.3,0,0.5652173913,,,,
,12,0,0.5507246377,0.8461538462,0.35,0.8461538462,0.35,0,0.5507246377,,,,
,13,0,0.5362318841,0.9230769231,0.4,0.9230769231,0.4,0,0.5362318841,,,,
,14,0,0.5217391304,1,0.45,1,0.45,0,0.5217391304,,,,
,15,0,0.5072463768,1,0.5,1,0.5,0,0.5072463768,,,,
,16,0,0.4927536232,1,0.55,1,0.55,0,0.4927536232,,,,
,17,0,0.4782608696,1,0.6,1,0.6,0,0.4782608696,,,,
,18,0,0.4637681159,1,0.65,1,0.65,0,0.4637681159,,,,
,19,0,0.4492753623,1,0.7,1,0.7,0,0.4492753623,,,,
,20,0,0.4347826087,0.9230769231,0.75,0.9230769231,0.75,0,0.4347826087,,,,
,21,0,0.4202898551,0.8461538462,0.8,0.8461538462,0.8,0,0.4202898551,,,,
,22,0,0.4057971014,0.7692307692,0.85,0.7692307692,0.85,0,0.4057971014,,,,
,23,0,0.3913043478,0.6923076923,0.9,0.6923076923,0.9,0,0.3913043478,,,,
